,Player,Sh,SoT,G/Sh,G/SoT,Cmp,Att_x,Cmp%,Tkl,Tkl,TklW_x,Blocks,Int_x,Tkl+Int,Clr,Err,Touches,Succ,Att_y,Succ%,Fls,Fld,Off,Crs,Int_y,TklW_y,PKwon,PKcon,OG,Won,Lost,Pos,Age,Club,MP,Starts,Min,90s,Gls,Gls,Ast,Ast,G-PK,G-PK,PK,CrdY,CrdR,Team
10,Josh Sargent,4,1,0.0,0.0,29.0,33.0,87.9,0.0,0.0,0,1.0,1,1.0,0.0,0.0,48.0,2.0,2.0,100.0,2,0,0,1,1,0,0.0,0.0,0,3.0,6.0,FW,22.0,2.eng Norwich City,3,2,157.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,United States
11,Haji Wright,6,2,0.17,0.5,20.0,27.0,74.1,2.0,2.0,0,0.0,0,2.0,1.0,0.0,44.0,0.0,1.0,0.0,1,3,1,1,0,0,0.0,0.0,0,6.0,7.0,FW,24.0,1.tr Antalyaspor,4,1,137.0,1.5,1.0,0.66,0.0,0.0,1.0,0.66,0.0,0.0,0.0,United States
12,Cameron Carter-Vickers,0,0,,,50.0,58.0,86.2,0.0,0.0,0,1.0,0,0.0,4.0,0.0,64.0,0.0,0.0,,0,1,0,0,0,0,0.0,0.0,0,4.0,4.0,DF,24.0,1.sct Celtic,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,United States
13,Jesús Ferreira,0,0,,,16.0,19.0,84.2,1.0,1.0,0,0.0,0,1.0,0.0,0.0,24.0,0.0,1.0,0.0,0,1,0,0,0,0,0.0,0.0,0,0.0,0.0,FW,21.0,1.us FC Dallas,1,1,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,United States
14,Brenden Aaronson,1,0,0.0,,41.0,50.0,82.0,3.0,0.0,2,5.0,1,4.0,0.0,0.0,78.0,2.0,11.0,18.2,3,3,0,3,1,2,0.0,0.0,0,0.0,1.0,MF,21.0,1.eng Leeds United,4,0,108.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,United States
15,Gio Reyna,2,0,0.0,,26.0,38.0,68.4,0.0,0.0,0,1.0,0,0.0,0.0,0.0,42.0,0.0,0.0,,0,2,0,2,0,0,0.0,0.0,0,2.0,0.0,FW,19.0,1.de Dortmund,2,0,53.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,United States
16,Kellyn Acosta,0,0,,,10.0,12.0,83.3,3.0,2.0,2,0.0,0,3.0,0.0,0.0,16.0,0.0,0.0,,1,0,0,0,0,2,0.0,0.0,0,1.0,0.0,MF,26.0,1.us Los Angeles FC,2,0,43.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,United States
17,DeAndre Yedlin,0,0,,,19.0,28.0,67.9,2.0,2.0,1,0.0,0,2.0,2.0,0.0,32.0,0.0,0.0,,2,0,0,4,0,1,0.0,0.0,0,1.0,0.0,DF,28.0,1.us Inter Miami,2,0,33.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,United States
18,Shaquell Moore,0,0,,,14.0,21.0,66.7,2.0,2.0,2,0.0,0,2.0,3.0,0.0,27.0,0.0,0.0,,3,0,0,0,0,2,0.0,0.0,0,1.0,0.0,DF,25.0,1.us Nashville,2,0,22.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,United States
19,Jordan Morris,0,0,,,1.0,4.0,25.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,5.0,0.0,0.0,,0,0,0,2,0,0,0.0,0.0,0,0.0,1.0,"FW,DF",27.0,1.us Seattle,2,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,United States
0,Matty Cash,1,0,0.0,,123.0,160.0,76.9,4.0,3.0,3,7.0,0,4.0,17.0,0.0,197.0,1.0,4.0,25.0,7,3,0,9,0,3,0.0,0.0,0,2.0,1.0,DF,24.0,1.eng Aston Villa,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Poland
1,Kamil Glik,3,0,0.0,,118.0,130.0,90.8,2.0,2.0,1,2.0,3,5.0,23.0,0.0,167.0,0.0,0.0,,2,0,0,0,3,1,0.0,0.0,0,4.0,3.0,DF,34.0,2.it Benevento,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Poland
2,Robert Lewandowski,10,2,0.1,0.5,61.0,91.0,67.0,2.0,0.0,2,3.0,1,3.0,8.0,0.0,153.0,5.0,12.0,41.7,6,9,0,3,1,2,1.0,0.0,0,16.0,17.0,FW,33.0,1.es Barcelona,4,4,360.0,4.0,2.0,0.5,1.0,0.25,1.0,0.25,1.0,0.0,0.0,Poland
3,Wojciech Szczęsny,0,0,,,84.0,142.0,59.2,0.0,0.0,0,0.0,0,0.0,4.0,0.0,159.0,0.0,0.0,,1,1,0,0,0,0,0.0,1.0,0,2.0,0.0,GK,32.0,1.it Juventus,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Poland
4,Jakub Kiwior,1,0,0.0,,174.0,205.0,84.9,2.0,1.0,1,4.0,4,6.0,15.0,2.0,236.0,0.0,0.0,,1,0,0,0,4,1,0.0,0.0,0,3.0,4.0,DF,22.0,1.it Spezia,4,4,355.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Poland
5,Bartosz Bereszyński,0,0,,,122.0,156.0,78.2,6.0,3.0,2,4.0,2,8.0,17.0,0.0,197.0,1.0,7.0,14.3,5,3,0,4,2,2,0.0,0.0,0,4.0,2.0,DF,29.0,1.it Sampdoria,4,4,341.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Poland
6,Grzegorz Krychowiak,1,0,0.0,,93.0,127.0,73.2,9.0,1.0,4,5.0,5,14.0,4.0,0.0,165.0,1.0,3.0,33.3,6,7,0,1,5,4,0.0,0.0,0,4.0,3.0,MF,32.0,1.sa Al-Shabab,4,4,332.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Poland
7,Piotr Zieliński,3,2,0.33,0.5,124.0,153.0,81.0,7.0,1.0,5,1.0,1,8.0,7.0,0.0,178.0,1.0,4.0,25.0,4,2,0,16,1,5,0.0,0.0,0,0.0,2.0,"MF,FW",28.0,1.it Napoli,4,4,328.0,3.6,1.0,0.27,0.0,0.0,1.0,0.27,0.0,0.0,0.0,Poland
8,Przemysław Frankowski,1,0,0.0,,49.0,74.0,66.2,7.0,2.0,4,1.0,3,10.0,5.0,0.0,97.0,2.0,4.0,50.0,1,5,0,8,3,4,0.0,0.0,0,1.0,1.0,MF,27.0,1.fr Lens,4,3,240.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Poland
9,Jakub Kamiński,4,1,0.0,0.0,37.0,61.0,60.7,6.0,3.0,1,4.0,0,6.0,2.0,0.0,88.0,2.0,5.0,40.0,5,2,0,4,0,1,0.0,0.0,0,0.0,5.0,MF,20.0,1.de Wolfsburg,4,2,233.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Poland
10,Krystian Bielik,2,0,0.0,,86.0,99.0,86.9,5.0,2.0,3,1.0,5,10.0,6.0,0.0,129.0,1.0,3.0,33.3,5,4,0,0,5,3,0.0,1.0,0,6.0,4.0,MF,24.0,3.eng Derby County,4,2,216.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Poland
11,Sebastian Szymański,0,0,,,26.0,41.0,63.4,6.0,0.0,3,4.0,2,8.0,1.0,0.0,61.0,1.0,3.0,33.3,1,3,0,3,2,3,0.0,0.0,0,1.0,5.0,MF,23.0,1.nl Feyenoord,2,2,134.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Poland
12,Arkadiusz Milik,1,0,0.0,,19.0,29.0,65.5,0.0,0.0,0,1.0,0,0.0,0.0,0.0,39.0,1.0,1.0,100.0,1,2,1,0,0,0,0.0,0.0,0,4.0,5.0,"FW,MF",28.0,1.it Juventus,3,1,101.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Poland
13,Nicola Zalewski,0,0,,,15.0,17.0,88.2,4.0,2.0,0,1.0,0,4.0,0.0,0.0,29.0,0.0,2.0,0.0,1,2,0,1,0,0,0.0,0.0,0,0.0,1.0,MF,20.0,1.it Roma,2,1,65.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Poland
14,Karol Świderski,0,0,,,7.0,7.0,100.0,4.0,2.0,1,0.0,2,6.0,0.0,0.0,14.0,0.0,0.0,,0,1,0,0,2,1,0.0,0.0,0,1.0,1.0,FW,25.0,1.us Charlotte,1,1,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Poland
15,Michał Skóraś,1,0,0.0,,8.0,9.0,88.9,0.0,0.0,0,1.0,1,1.0,0.0,0.0,12.0,0.0,1.0,0.0,1,2,0,0,1,0,0.0,0.0,0,1.0,0.0,MF,22.0,1.pl Lech Poznań,1,0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Poland
16,Damian Szymański,0,0,,,8.0,8.0,100.0,0.0,0.0,0,0.0,1,1.0,0.0,0.0,9.0,0.0,0.0,,0,0,0,0,1,0,0.0,0.0,0,0.0,0.0,MF,26.0,1.gr AEK Athens,1,0,29.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Poland
17,Krzysztof Piątek,1,0,0.0,,2.0,6.0,33.3,0.0,0.0,0,0.0,0,0.0,0.0,0.0,9.0,0.0,0.0,,0,1,0,0,0,0,0.0,0.0,0,2.0,6.0,FW,26.0,1.it Salernitana,2,0,28.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Poland
18,Artur Jędrzejczyk,0,0,,,3.0,4.0,75.0,0.0,0.0,0,0.0,0,0.0,1.0,0.0,5.0,0.0,0.0,,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,DF,34.0,1.pl Legia Warsaw,1,0,19.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Poland
19,Jan Bednarek,0,0,,,6.0,6.0,100.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,6.0,0.0,0.0,,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,DF,26.0,1.eng Aston Villa,1,0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Poland
20,Kamil Grosicki,0,0,,,4.0,6.0,66.7,0.0,0.0,0,0.0,0,0.0,0.0,0.0,6.0,1.0,1.0,100.0,0,0,0,3,0,0,0.0,0.0,0,0.0,0.0,MF,34.0,1.pl Pogoń Szczecin,1,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Poland
0,Son Heung-min,9,3,0.0,0.0,77.0,115.0,67.0,5.0,4.0,2,2.0,2,7.0,0.0,1.0,158.0,3.0,15.0,20.0,1,6,2,21,2,2,0.0,0.0,0,0.0,2.0,"FW,MF",29.0,1.eng Tottenham,4,4,360.0,4.0,0.0,0.0,1.0,0.25,0.0,0.0,0.0,0.0,0.0,Korea Republic
1,Kim Moonhwan,0,0,,,201.0,242.0,83.1,9.0,5.0,4,3.0,4,13.0,16.0,0.0,289.0,2.0,4.0,50.0,1,0,0,15,4,4,0.0,0.0,0,6.0,3.0,DF,26.0,1.kr Jeonbuk,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Korea Republic
2,Kim Seung-gyu,0,0,,,93.0,128.0,72.7,0.0,0.0,0,0.0,2,2.0,2.0,0.0,139.0,0.0,0.0,,0,0,0,0,2,0,0.0,0.0,0,0.0,2.0,GK,31.0,1.sa Al-Shabab,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Korea Republic
3,Kim Young-gwon,2,1,0.5,1.0,178.0,209.0,85.2,3.0,1.0,2,3.0,3,6.0,11.0,0.0,232.0,0.0,0.0,,1,2,0,1,3,2,0.0,0.0,0,6.0,2.0,DF,32.0,1.kr Ulsan Hyundai,4,4,350.0,3.9,1.0,0.26,0.0,0.0,1.0,0.26,0.0,1.0,0.0,Korea Republic
4,Hwang In-beom,6,1,0.0,0.0,194.0,247.0,78.5,4.0,3.0,3,1.0,3,7.0,2.0,0.0,276.0,0.0,5.0,0.0,7,3,0,6,3,3,0.0,0.0,0,2.0,5.0,MF,25.0,1.gr Olympiacos,4,4,334.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Korea Republic
5,Kim Jin-su,4,0,0.0,,105.0,146.0,71.9,10.0,5.0,5,2.0,3,13.0,5.0,0.0,175.0,0.0,2.0,0.0,1,6,1,16,3,5,0.0,0.0,0,10.0,4.0,DF,30.0,1.kr Jeonbuk,4,4,315.0,3.5,0.0,0.0,1.0,0.29,0.0,0.0,0.0,0.0,0.0,Korea Republic
6,Jung Woo-young,1,0,0.0,,178.0,211.0,84.4,5.0,2.0,4,3.0,3,8.0,7.0,0.0,239.0,0.0,0.0,,11,0,0,1,3,4,0.0,1.0,0,6.0,2.0,MF,32.0,1.qa Al Sadd SC,4,4,303.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Korea Republic
7,Cho Guesung,9,5,0.22,0.4,40.0,63.0,63.5,0.0,0.0,0,3.0,0,0.0,3.0,0.0,88.0,0.0,5.0,0.0,7,6,4,1,0,0,0.0,0.0,0,21.0,12.0,FW,24.0,1.kr Jeonbuk,4,3,275.0,3.1,2.0,0.65,0.0,0.0,2.0,0.65,0.0,1.0,0.0,Korea Republic
8,Kim Min-jae,2,0,0.0,,167.0,191.0,87.4,2.0,1.0,1,5.0,2,4.0,8.0,0.0,213.0,1.0,1.0,100.0,0,0,0,1,2,1,0.0,0.0,0,10.0,1.0,DF,25.0,1.it Napoli,3,3,269.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Korea Republic
9,Lee Jae-sung,1,0,0.0,,84.0,97.0,86.6,5.0,1.0,2,3.0,3,8.0,2.0,0.0,116.0,2.0,3.0,66.7,2,1,0,1,3,2,0.0,0.0,0,3.0,4.0,"MF,FW",29.0,1.de Mainz 05,3,3,211.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Korea Republic
10,Lee Kangin,5,1,0.0,0.0,62.0,77.0,80.5,4.0,2.0,3,0.0,0,4.0,0.0,0.0,91.0,1.0,2.0,50.0,2,4,0,12,0,3,0.0,0.0,0,0.0,1.0,"MF,FW",21.0,1.es Mallorca,4,1,147.0,1.6,0.0,0.0,1.0,0.61,0.0,0.0,0.0,1.0,0.0,Korea Republic
11,Na Sang-ho,1,1,0.0,0.0,24.0,37.0,64.9,4.0,1.0,1,0.0,0,4.0,2.0,0.0,60.0,0.0,4.0,0.0,2,0,0,8,0,1,0.0,0.0,0,3.0,3.0,FW,25.0,1.kr FC Seoul,2,1,119.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Korea Republic
12,Hwang Hee-chan,6,5,0.17,0.2,45.0,59.0,76.3,1.0,0.0,1,0.0,0,1.0,0.0,0.0,84.0,3.0,10.0,30.0,3,3,0,3,0,1,0.0,0.0,0,0.0,1.0,"MF,FW",26.0,1.eng Wolves,2,1,115.0,1.3,1.0,0.78,0.0,0.0,1.0,0.78,0.0,1.0,0.0,Korea Republic
13,Hwang Ui-jo,1,0,0.0,,9.0,11.0,81.8,0.0,0.0,0,0.0,0,0.0,1.0,0.0,18.0,1.0,1.0,100.0,0,0,0,0,0,0,0.0,0.0,0,1.0,12.0,"FW,MF",29.0,1.gr Olympiacos,4,1,106.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Korea Republic
14,Kwon Kyung-won,1,0,0.0,,39.0,43.0,90.7,0.0,0.0,0,1.0,2,2.0,5.0,0.0,53.0,0.0,0.0,,0,3,0,0,2,0,0.0,0.0,0,2.0,2.0,DF,30.0,1.jp Gamba Osaka,2,1,91.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Korea Republic
15,Kwon Chang-hoon,0,0,,,19.0,25.0,76.0,1.0,1.0,0,0.0,0,1.0,0.0,0.0,28.0,0.0,0.0,,0,0,0,3,0,0,0.0,0.0,0,0.0,2.0,"FW,MF",27.0,1.kr Sangju Sangmu,1,1,56.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Korea Republic
16,Jeong Woo-yeong,1,0,0.0,,12.0,15.0,80.0,0.0,0.0,0,0.0,0,0.0,1.0,0.0,20.0,0.0,1.0,0.0,1,0,0,1,0,0,0.0,0.0,0,0.0,0.0,MF,22.0,1.de Freiburg,1,1,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Korea Republic
17,Son Jun-ho,0,0,,,55.0,59.0,93.2,3.0,2.0,3,3.0,3,6.0,0.0,0.0,68.0,0.0,0.0,,5,0,0,0,3,3,0.0,0.0,0,0.0,1.0,"MF,DF",30.0,1.cn Shandong Lunen,3,0,72.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Korea Republic
18,Hong Chul,0,0,,,17.0,20.0,85.0,0.0,0.0,0,2.0,1,1.0,1.0,0.0,24.0,0.0,1.0,0.0,0,0,0,2,1,0,0.0,0.0,0,1.0,0.0,DF,31.0,1.kr Daegu,1,0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Korea Republic
19,Paik Seung-ho,1,1,1.0,1.0,20.0,27.0,74.1,3.0,2.0,2,0.0,0,3.0,0.0,0.0,30.0,0.0,0.0,,1,0,0,0,0,2,0.0,0.0,0,1.0,0.0,MF,25.0,1.kr Jeonbuk,1,0,26.0,0.3,1.0,3.46,0.0,0.0,1.0,3.46,0.0,0.0,0.0,Korea Republic
20,Cho Yumin,0,0,,,0.0,0.0,,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,FW,25.0,2.kr Daejeon Citizen FC,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Korea Republic
0,Pervis Estupiñán,1,1,0.0,0.0,148.0,190.0,77.9,6.0,2.0,3,4.0,3,9.0,6.0,0.0,217.0,2.0,8.0,25.0,8,3,2,19,3,3,0.0,0.0,0,3.0,3.0,DF,24.0,1.eng Brighton,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ecuador
1,Hernán Galíndez,0,0,,,44.0,74.0,59.5,0.0,0.0,0,0.0,0,0.0,0.0,0.0,77.0,0.0,0.0,,0,0,0,0,0,0,0.0,0.0,0,2.0,0.0,GK,35.0,1.ec SD Aucas,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ecuador
2,Piero Hincapié,0,0,,,168.0,200.0,84.0,7.0,2.0,4,2.0,2,9.0,9.0,0.0,227.0,0.0,0.0,,5,1,0,1,2,4,0.0,1.0,0,5.0,3.0,DF,20.0,1.de Leverkusen,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ecuador
3,Félix Torres Caicedo,1,0,0.0,,168.0,208.0,80.8,2.0,2.0,2,3.0,4,6.0,10.0,0.0,233.0,0.0,1.0,0.0,1,0,0,0,4,2,0.0,0.0,0,9.0,4.0,DF,25.0,1.mx Santos,3,3,270.0,3.0,0.0,0.0,1.0,0.33,0.0,0.0,0.0,0.0,0.0,Ecuador
4,Moisés Caicedo,3,1,0.33,1.0,126.0,153.0,82.4,6.0,0.0,5,4.0,2,8.0,2.0,1.0,173.0,0.0,0.0,,4,5,0,0,2,5,0.0,0.0,0,1.0,1.0,MF,20.0,1.eng Brighton,3,3,269.0,3.0,1.0,0.33,0.0,0.0,1.0,0.33,0.0,1.0,0.0,Ecuador
5,Gonzalo Plata,2,1,0.0,0.0,77.0,104.0,74.0,3.0,2.0,2,3.0,2,5.0,0.0,0.0,133.0,4.0,12.0,33.3,4,6,0,17,2,2,0.0,0.0,0,5.0,6.0,"MF,FW",21.0,1.es Valladolid,3,3,269.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ecuador
6,Ángelo Preciado,4,0,0.0,,94.0,129.0,72.9,7.0,2.0,5,2.0,6,13.0,4.0,0.0,162.0,0.0,4.0,0.0,8,2,0,8,6,5,0.0,0.0,0,3.0,2.0,DF,24.0,1.be Genk,3,3,264.0,2.9,0.0,0.0,1.0,0.34,0.0,0.0,0.0,0.0,0.0,Ecuador
7,Enner Valencia,8,3,0.25,0.67,40.0,57.0,70.2,2.0,0.0,0,3.0,1,3.0,2.0,0.0,98.0,2.0,7.0,28.6,3,7,2,3,1,0,1.0,0.0,0,2.0,8.0,"FW,MF",32.0,1.tr Fenerbahçe,3,3,255.0,2.8,3.0,1.06,0.0,0.0,2.0,0.71,1.0,0.0,0.0,Ecuador
8,Michael Estrada,3,0,0.0,,28.0,50.0,56.0,1.0,0.0,0,4.0,0,1.0,0.0,0.0,71.0,2.0,3.0,66.7,6,7,2,0,0,0,0.0,0.0,0,13.0,14.0,FW,26.0,1.mx Cruz Azul,3,3,225.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ecuador
9,Jhegson Méndez,0,0,,,128.0,140.0,91.4,2.0,1.0,2,4.0,1,3.0,1.0,0.0,150.0,0.0,1.0,0.0,3,2,0,2,1,2,0.0,0.0,0,2.0,2.0,MF,25.0,1.us Los Angeles FC,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Ecuador
10,Jackson Porozo,1,0,0.0,,39.0,44.0,88.6,2.0,0.0,2,1.0,3,5.0,4.0,0.0,58.0,0.0,0.0,,1,2,1,0,3,2,0.0,0.0,0,1.0,0.0,DF,21.0,1.fr Troyes,2,1,96.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ecuador
11,Romario Ibarra,2,1,0.0,0.0,10.0,14.0,71.4,0.0,0.0,0,1.0,1,1.0,2.0,0.0,23.0,1.0,1.0,100.0,0,0,0,0,1,0,0.0,0.0,0,0.0,1.0,MF,27.0,1.mx Pachuca,2,1,68.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ecuador
12,Alan Franco,0,0,,,10.0,11.0,90.9,1.0,0.0,0,0.0,2,3.0,1.0,0.0,16.0,0.0,0.0,,0,0,0,0,2,0,0.0,0.0,0,1.0,1.0,MF,23.0,1.ar Talleres,2,1,46.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ecuador
13,Carlos Gruezo,0,0,,,15.0,15.0,100.0,2.0,1.0,2,0.0,0,2.0,0.0,0.0,19.0,0.0,0.0,,0,0,0,0,0,2,0.0,0.0,0,0.0,1.0,MF,27.0,1.de Augsburg,1,1,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ecuador
14,Jeremy Sarmiento,1,1,0.0,0.0,23.0,37.0,62.2,2.0,0.0,1,0.0,1,3.0,0.0,0.0,44.0,2.0,6.0,33.3,2,2,1,5,1,1,0.0,0.0,0,2.0,1.0,"MF,FW",19.0,1.eng Brighton,3,0,85.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ecuador
15,José Cifuentes,1,1,0.0,0.0,33.0,44.0,75.0,2.0,0.0,2,1.0,0,2.0,1.0,0.0,52.0,0.0,0.0,,3,0,0,2,0,2,0.0,0.0,0,0.0,0.0,MF,23.0,1.us Los Angeles FC,2,0,59.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ecuador
16,Djorkaeff Reasco,0,0,,,2.0,2.0,100.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,3.0,0.0,0.0,,1,0,0,0,0,0,0.0,0.0,0,0.0,0.0,FW,23.0,1.ar Newell's OB,1,0,27.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ecuador
17,Kevin Rodríguez,2,1,0.0,0.0,,,,,,0,,0,,,,,,,,1,0,0,0,0,0,,,0,,,FW,22.0,,2,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ecuador
0,Joshua Kimmich,7,4,0.0,0.0,226.0,267.0,84.6,5.0,3.0,2,6.0,3,8.0,1.0,0.0,301.0,1.0,4.0,25.0,2,2,0,21,3,2,0.0,0.0,0,4.0,1.0,"MF,DF",27.0,1.de Bayern Munich,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Germany
1,Manuel Neuer,0,0,,,115.0,127.0,90.6,0.0,0.0,0,0.0,0,0.0,0.0,2.0,133.0,0.0,0.0,,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,GK,36.0,1.de Bayern Munich,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Germany
2,Antonio Rüdiger,6,1,0.0,0.0,229.0,252.0,90.9,2.0,0.0,1,3.0,0,2.0,5.0,1.0,273.0,0.0,1.0,0.0,0,3,1,0,0,1,0.0,0.0,0,6.0,1.0,DF,29.0,1.es Real Madrid,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Germany
3,Niklas Süle,1,0,0.0,,231.0,255.0,90.6,5.0,3.0,4,1.0,0,5.0,7.0,0.0,268.0,0.0,0.0,,0,2,0,1,0,4,0.0,0.0,0,6.0,3.0,DF,26.0,1.de Dortmund,3,3,269.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Germany
4,Serge Gnabry,12,4,0.08,0.25,86.0,118.0,72.9,5.0,4.0,2,2.0,2,7.0,3.0,0.0,148.0,3.0,5.0,60.0,2,2,3,7,2,2,0.0,0.0,0,0.0,2.0,"FW,MF",26.0,1.de Bayern Munich,3,3,263.0,2.9,1.0,0.34,1.0,0.34,1.0,0.34,0.0,0.0,0.0,Germany
5,Jamal Musiala,12,3,0.0,0.0,85.0,105.0,81.0,1.0,1.0,1,3.0,1,2.0,0.0,0.0,163.0,19.0,36.0,52.8,1,6,1,1,1,1,0.0,0.0,0,1.0,2.0,"MF,FW",19.0,1.de Bayern Munich,3,3,258.0,2.9,0.0,0.0,1.0,0.35,0.0,0.0,0.0,0.0,0.0,Germany
6,David Raum,0,0,,,153.0,195.0,78.5,6.0,3.0,3,10.0,7,13.0,2.0,0.0,229.0,2.0,4.0,50.0,5,3,1,24,7,3,1.0,0.0,0,5.0,3.0,DF,24.0,1.de RB Leipzig,3,3,242.0,2.7,0.0,0.0,1.0,0.37,0.0,0.0,0.0,0.0,0.0,Germany
7,Thomas Müller,3,0,0.0,,56.0,78.0,71.8,2.0,1.0,2,4.0,1,3.0,0.0,0.0,91.0,0.0,0.0,,0,1,2,5,1,2,0.0,0.0,0,1.0,7.0,"FW,MF",32.0,1.de Bayern Munich,3,3,201.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Germany
